Activity ID,Reactants,Chemical Equation,Type of Reaction,Observations,Key Findings,Source
1.1,"Magnesium ribbon  $(s)$ , Oxygen  $(g)$",$2Mg(s) + O_{2}(g) \rightarrow 2MgO(s)$,Combination Reaction (Redox),Burns with a dazzling white flame; changes into a white powder.,Magnesium oxide is formed.,1
1.2,"Lead nitrate solution  $(aq)$ , Potassium iodide solution  $(aq)$",$Pb(NO_{3}){2}(aq) + 2KI(aq) \rightarrow PbI{2}(s) + 2KNO_{3}(aq)$,Double Displacement Reaction,Formation of a yellow precipitate.,A yellow precipitate of lead iodide is formed.,1
1.3,"Zinc granules  $(s)$ , Dilute sulphuric acid  $(aq)$  or Hydrochloric acid  $(aq)$",$Zn(s) + H_{2}SO_{4}(aq) \rightarrow ZnSO_{4}(aq) + H_{2}(g)$,Displacement Reaction,Evolution of a gas; change in temperature (beaker becomes hot).,Hydrogen gas is evolved; Zinc sulphate is formed.,1
1.4,"Calcium oxide  $(s)$ , Water  $(l)$",$CaO(s) + H_{2}O(l) \rightarrow Ca(OH)_{2}(aq) + \text{Heat}$,Combination Reaction (Exothermic),Reacts vigorously; large amount of heat released; beaker becomes hot.,Slaked lime (calcium hydroxide) is produced.,1
1.5,Ferrous sulphate crystals  $(s)$,$2FeSO_{4}(s) \xrightarrow{\Delta} Fe_{2}O_{3}(s) + SO_{2}(g) + SO_{3}(g)$,Decomposition Reaction (Thermal),Green colour of crystals changes to reddish-brown; characteristic odour of burning sulphur.,"Ferric oxide, sulphur dioxide, and sulphur trioxide are formed.",1
1.6,Lead nitrate powder  $(s)$,$2Pb(NO_{3}){2}(s) \xrightarrow{\Delta} 2PbO(s) + 4NO{2}(g) + O_{2}(g)$,Decomposition Reaction (Thermal),Emission of brown fumes.,Nitrogen dioxide gas (brown fumes) and lead oxide are formed.,1
1.7,Water  $(l)$,$2H_{2}O(l) \xrightarrow{\text{Electrolysis}} 2H_{2}(g) + O_{2}(g)$,Decomposition Reaction (Electrolysis),Formation of bubbles at both electrodes; gas volume at one electrode (cathode) is double the other (anode).,Hydrogen and oxygen gases are released.,1
1.8,Silver chloride  $(s)$,$2AgCl(s) \xrightarrow{\text{Sunlight}} 2Ag(s) + Cl_{2}(g)$,Decomposition Reaction (Photochemical),White silver chloride turns grey in sunlight.,Silver metal and chlorine gas are formed.,1
1.9,"Iron nails  $(s)$ , Copper sulphate solution  $(aq)$",$Fe(s) + CuSO_{4}(aq) \rightarrow FeSO_{4}(aq) + Cu(s)$,Displacement Reaction,Iron nail becomes brownish; blue colour of copper sulphate solution fades.,Iron displaces copper; iron sulphate and copper metal are formed.,1
1.10,"Sodium sulphate solution  $(aq)$ , Barium chloride solution  $(aq)$",$Na_{2}SO_{4}(aq) + BaCl_{2}(aq) \rightarrow BaSO_{4}(s) + 2NaCl(aq)$,Double Displacement Reaction,Formation of a white precipitate.,Insoluble white barium sulphate is formed.,1
1.11,"Copper powder  $(s)$ , Oxygen  $(g)$",$2Cu(s) + O_{2}(g) \xrightarrow{\Delta} 2CuO(s)$,Oxidation Reaction,Surface of copper powder becomes coated with a black substance.,Black copper(II) oxide is formed.,1
