What type of change occurs when milk is left at room temperature during summers?,A chemical change.
What is the common observation when an iron tawa or nail is left exposed to a humid atmosphere?,It undergoes a chemical change known as rusting.
"Whenever a chemical change occurs, we can say that a _____ has taken place.",Chemical reaction
Why is a magnesium ribbon rubbed with sandpaper before burning in air?,To clean it and remove the protective layer of magnesium oxide from its surface.
With what kind of flame does a magnesium ribbon burn?,A dazzling white flame.
What is the chemical name of the white powder formed after burning a magnesium ribbon?,$Magnesium\ oxide$
Magnesium oxide is formed due to the reaction between magnesium and _____ present in the air.,Oxygen
List the four main observations that help determine if a chemical reaction has taken place.,"Change in state, change in colour, evolution of a gas, and change in temperature."
"In a chemical equation, on which side are the reactants written?",The left-hand side ($LHS$).
What does the arrowhead in a chemical equation represent?,The direction of the reaction toward the products.
What is a 'skeletal chemical equation'?,An unbalanced chemical equation where the mass is not the same on both sides.
Why must a skeletal chemical equation be balanced?,To satisfy the Law of Conservation of Mass.
The Law of Conservation of Mass states that mass can neither be _____ nor destroyed in a chemical reaction.,Created
What is the name of the method used to balance chemical equations by using the smallest whole number coefficients?,Hit-and-trial method
"In a chemical equation, what does the symbol $(aq)$ signify?",Aqueous (the reactant or product is present as a solution in water).
Which symbol is used to indicate that water is used in the form of steam in a reaction?,$(g)$
"In the reaction $3Fe(s) + 4H_{2}O(g) \rightarrow Fe_{3}O_{4}(s) + 4H_{2}(g)$, what is the physical state of $Fe_{3}O_{4}$?",Solid
Define a combination reaction.,A reaction in which a single product is formed from two or more reactants.
What is the common name for calcium oxide ($CaO$)?,Quick lime
What is the chemical name and formula for 'slaked lime'?,$Calcium\ hydroxide$ ($Ca(OH)_{2}$)
Why does the beaker feel hot when water is added to quick lime?,The reaction is exothermic and releases a large amount of heat.
Define an exothermic chemical reaction.,A reaction in which heat is released along with the formation of products.
Name the reaction: $CH_{4}(g) + 2O_{2}(g) \rightarrow CO_{2}(g) + 2H_{2}O(g) + Energy$.,Burning of natural gas (an exothermic reaction).
Why is respiration considered an exothermic process?,Because glucose combines with oxygen in cells to provide energy for the body.
The decomposition of vegetable matter into compost is an example of an _____ reaction.,Exothermic
Which substance is used for white-washing walls?,A solution of slaked lime ($Calcium\ hydroxide$).
What substance gives a shiny finish to walls 2-3 days after white-washing?,$Calcium\ carbonate$ ($CaCO_{3}$)
What is the chemical formula for marble?,$CaCO_{3}$
Define a decomposition reaction.,A reaction in which a single reactant breaks down to give simpler products.
What is thermal decomposition?,A decomposition reaction carried out by heating.
What is the original colour of ferrous sulphate crystals?,Green
Name the three products formed when ferrous sulphate crystals are heated.,"$Ferric\ oxide$, $sulphur\ dioxide$, and $sulphur\ trioxide$."
What happens when calcium carbonate is heated?,It decomposes into calcium oxide (lime) and carbon dioxide gas.
Which decomposition product is used in the manufacture of cement?,Calcium oxide ($CaO$)
What is observed when lead nitrate powder is heated in a boiling tube?,The emission of brown fumes of nitrogen dioxide ($NO_{2}$).
"In the electrolysis of water, bubbles are formed at both electrodes. What process is this?",Electrolytic decomposition
What colour does white silver chloride turn when placed in sunlight?,Grey
Which form of energy causes the decomposition of silver chloride into silver and chlorine?,Sunlight (Light energy)
Silver bromide behaves similarly to silver chloride in sunlight. What are these reactions used for?,Black and white photography.
Define an endothermic reaction.,A reaction in which energy is absorbed.
What change is observed in the blue colour of copper sulphate solution when an iron nail is dipped in it?,The blue colour fades.
Define a displacement reaction.,A reaction where a more reactive element displaces a less reactive element from its compound.
Why does iron displace copper from copper sulphate solution?,Iron is more reactive than copper.
"In the reaction $Zn(s) + CuSO_{4}(aq) \rightarrow ZnSO_{4}(aq) + Cu(s)$, which element is displaced?",Copper
What is a double displacement reaction?,A reaction in which there is an exchange of ions between the reactants.
What is a precipitate?,An insoluble substance formed during a chemical reaction.
Name the white precipitate formed when sodium sulphate reacts with barium chloride.,$Barium\ sulphate$ ($BaSO_{4}$)
Define oxidation in terms of oxygen gain/loss.,The gain of oxygen by a substance during a reaction.
Define reduction in terms of oxygen gain/loss.,The loss of oxygen by a substance during a reaction.
What is a redox reaction?,A reaction where one reactant gets oxidised while the other gets reduced.
"When copper powder is heated, it becomes coated with a black substance. What is this substance?",$Copper(II)\ oxide$
How can the black coating of copper oxide be turned back into brown copper?,By passing hydrogen gas over the heated copper oxide.
Define oxidation in terms of hydrogen.,The loss of hydrogen by a substance.
Define reduction in terms of hydrogen.,The gain of hydrogen by a substance.
What is corrosion?,The process where a metal is attacked by substances like moisture or acids around it.
What is the colour of the coating formed on silver when it corrodes?,Black
What is the colour of the coating formed on copper due to corrosion?,Green
Define rancidity.,"The condition produced by the oxidation of fats and oils in food, resulting in unpleasant smell and taste."
Why do chips manufacturers flush bags of chips with nitrogen gas?,To prevent the chips from getting oxidised.
What are antioxidants used for in the food industry?,They are added to foods containing fats and oils to prevent oxidation.
